Authors,Publication Year,Data Collection Period,Species,Region,Manuscript Region,Specific Location,n,Sample Type,Chemical,FA class,Concentration,Concentration units,Tissue,Notes,DOI or Link,type
AK Dept of Environmental Conservation,2019,2001-2018,Chinook,Alaska,NA,NA,70,Individual,DDTs,,8.51,ug/kg ww,Fillet,Concentrations are arithmetic means,,contaminant
AK Dept of Environmental Conservation,2019,2001-2018,Chinook,Alaska,NA,NA,15,Individual,DDTs,,14.53,ug/kg ww,Whole Body,Concentrations are arithmetic means,,contaminant
AK Dept of Environmental Conservation,2019,2001-2018,Chum,Alaska,NA,NA,23,Individual,DDTs,,1.63,ug/kg ww,Fillet,Concentrations are arithmetic means,,contaminant
AK Dept of Environmental Conservation,2019,2001-2018,Coho,Alaska,NA,NA,81,Individual,DDTs,,0.96,ug/kg ww,Fillet,Concentrations are arithmetic means,,contaminant
AK Dept of Environmental Conservation,2019,2001-2018,Coho,Alaska,NA,NA,54,Individual,DDTs,,2.63,ug/kg ww,Whole Body,Concentrations are arithmetic means,,contaminant
AK Dept of Environmental Conservation,2019,2001-2018,Pink,Alaska,NA,NA,11,Individual,DDTs,,0.64,ug/kg ww,Fillet,Concentrations are arithmetic means,,contaminant
AK Dept of Environmental Conservation,2019,2001-2018,Sockeye,Alaska,NA,NA,6,Composite,DDTs,,8.94,ug/kg ww,Whole Body,Concentrations are arithmetic means,,contaminant
AK Dept of Environmental Conservation,2019,2001-2018,Sockeye,Alaska,NA,NA,45,Individual,DDTs,,6.94,ug/kg ww,Fillet,Concentrations are arithmetic means,,contaminant
AK Dept of Environmental Conservation,2019,2001-2018,Sockeye,Alaska,NA,NA,16,Individual,DDTs,,5.17,ug/kg ww,Whole Body,Concentrations are arithmetic means,,contaminant
AK Dept of Environmental Conservation,2021,2001-2020,Chum,Alaska,NA,NA,282,Individual,Hg_Total,,0.041,mg/kg ww,Fillet,Concentrations are arithmetic means,,contaminant
AK Dept of Environmental Conservation,2021,2001-2020,Chum,Alaska,NA,NA,2,Individual,Hg_Total,,0.01,mg/kg ww,Whole Body,Concentrations are arithmetic means,,contaminant
AK Dept of Environmental Conservation,2021,2001-2020,Coho,Alaska,NA,NA,326,Individual,Hg_Total,,0.042,mg/kg ww,Fillet,Concentrations are arithmetic means,,contaminant
AK Dept of Environmental Conservation,2021,2001-2020,Coho,Alaska,NA,NA,64,Individual,Hg_Total,,0.034,mg/kg ww,Whole Body,Concentrations are arithmetic means,,contaminant
AK Dept of Environmental Conservation,2021,2001-2020,Coho,Alaska,NA,NA,2,Composite,Hg_Total,,0.023,mg/kg ww,Whole Body,Concentrations are arithmetic means,,contaminant
AK Dept of Environmental Conservation,2021,2001-2020,Chinook,Alaska,NA,NA,243,Individual,Hg_Total,,0.063,mg/kg ww,Fillet,Concentrations are arithmetic means,,contaminant
AK Dept of Environmental Conservation,2021,2001-2020,Chinook,Alaska,NA,NA,21,Individual,Hg_Total,,0.045,mg/kg ww,Whole Body,Concentrations are arithmetic means,,contaminant
AK Dept of Environmental Conservation,2021,2001-2020,Pink,Alaska,NA,NA,185,Individual,Hg_Total,,0.01,mg/kg ww,Fillet,Concentrations are arithmetic means,,contaminant
AK Dept of Environmental Conservation,2021,2001-2020,Sockeye,Alaska,NA,NA,290,Individual,Hg_Total,,0.041,mg/kg ww,Fillet,Concentrations are arithmetic means,,contaminant
AK Dept of Environmental Conservation,2021,2001-2020,Sockeye,Alaska,NA,NA,56,Individual,Hg_Total,,0.033,mg/kg ww,Whole Body,Concentrations are arithmetic means,,contaminant
AK Dept of Environmental Conservation,2021,2001-2020,Sockeye,Alaska,NA,NA,1,Composite,Hg_Total,,0.094,mg/kg ww,Whole Body,Concentrations are arithmetic means,,contaminant
